company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Industrials,75.58,4.48,12.63,0.07,62.63,60.28,Caution
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,11.71,36.84,0.01,37.82,90.84,Caution
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,4.11,15.96,-3.23,46.9,102.1,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,6.08,39.72,-4.18,51.06,-55.99,Discount
BANKBARODA,Bank of Baroda,Financials,16.89,4.15,24.7,-1.28,67.24,-50.67,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,9.22,23.14,-0.09,52.67,-62.06,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,11.43,21.59,-0.44,31.13,-36.8,Discount
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,5.42,35.8,51.73,Caution
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,6.47,16.07,0.06,31.28,53.74,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,10.36,13.52,-3.97,33.3,-50.96,Discount
COALINDIA,Coal India Ltd,Materials,34.27,14.75,25.15,3.0,32.17,-38.39,Discount
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,0.02,13.03,-75.07,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61,19.29,0.4,18.91,-58.9,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,9.54,33.07,0.28,30.66,-42.47,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,8.07,23.55,-0.1,40.79,-34.07,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,5.68,15.23,-7.06,38.27,68.27,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,3.65,8.76,0.07,51.22,52.45,Caution
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,11.88,7.52,1.85,22.92,-32.27,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,12.38,22.57,0.01,36.03,-39.16,Discount
IOC,"Indian Oil Corporation
",Energy,28.61,4.24,33.71,2.79,50.51,-36.3,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,5.74,32.47,0.05,36.42,59.03,Caution
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,3.91,16.66,0.3,37.81,-71.35,Discount
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,3.7,28.79,-0.97,51.73,-73.74,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,8.33,11.87,-0.03,36.89,-31.97,Discount
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,1.81,35.99,-43.44,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,0.91,51.42,100.58,Caution
JSWENERGY,JSW Energy Ltd,Energy,24.79,9.88,35.95,-1.77,36.57,-44.81,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,2.48,16.63,1.82,18.77,-34.68,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,0.81,29.08,-0.27,34.84,-62.58,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,8.26,29.97,0.33,20.78,-45.32,Discount
NHPC,"NHPC Ltd
",Energy,71.17,13.74,18.26,0.06,59.63,58.45,Caution
NTPC,NTPC Ltd,Energy,30.8,5.24,37.12,0.95,54.44,-31.43,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,10.78,43.8,-59.59,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,12.3,5.36,0.59,38.11,-35.06,Discount
PNB,Punjab National Bank,Financials,19.29,10.91,23.64,-1.61,20.42,-43.66,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,9.48,31.04,-0.24,60.68,104.38,Caution
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,2.38,33.39,0.63,30.92,-74.9,Discount
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,0.06,32.7,-53.49,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,7.91,28.82,-3.61,37.85,100.15,Caution
SBIN,State Bank of India,Financials,54.93,2.72,21.53,0.76,54.93,60.43,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,0.93,15.35,3.0,34.17,76.48,Caution
TATAPOWER,"Tata Power Company Ltd
",Energy,14.5,3.48,12.02,0.22,24.7,-67.72,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,10.51,21.0,0.08,26.55,-73.35,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,11.82,34.65,0.15,65.94,-77.24,Discount
